ZipCode,AdjacentZipCodes
15026,"15126, 15026, 15026, 15205, 15126, 15205"
15135,"15129, 15089"
15215,15205
15017,"15126, 15301, 15301, 15205, 15129, 15143"
15126,"15026, 15017, 15026, 15010, 15205, 15143"
15479,"15679, 15022, 15672, 15089, 15479, 15479, 15679, 15022, 15672, 15089"
15010,15126
16053,
15679,"15479, 15022, 15672, 15089, 15479"
15022,"15479, 15679, 15301, 15301, 15672, 15129, 15089, 15479"
15301,"15017, 15017, 15022, 15022, 15301, 15301"
15672,"15479, 15679, 15022, 15089, 15479"
15205,"15026, 15215, 15017, 15126, 15026, 15143"
15129,"15135, 15017, 15022"
15143,"15017, 15126, 15205"
15018,
15089,"15135, 15479, 15679, 15022, 15672, 15479"
