name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,sunrise,sunset
"15026, USA",2024-04-02T00:00:00,12.8,12.8,10,83.2,2.74,100,rain,0,0,24.1,7.7,62,1009.7,96.7,15.4,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T01:00:00,12.3,12.3,10.7,90.4,0.919,100,rain,0,0,44.6,9.5,31,1009.3,100,10.8,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T02:00:00,12.3,12.3,10.7,90.38,1.555,100,rain,0,0,24.1,8.8,104,1008.1,100,13.7,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T03:00:00,12.2,12.2,10.8,90.82,0.02,100,rain,0,0,22.3,18.7,45,1007.1,99.1,12.5,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T04:00:00,12.7,12.7,11.7,93.27,0.02,100,rain,0,0,22.3,1.1,2,1006.8,99.2,8.7,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T05:00:00,12.2,12.2,10.7,90.43,8.26,100,rain,0,0,20.5,7.4,91,1006.9,100,10.5,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970",7:02:32,19:47:49
"15026, USA",2024-04-02T06:00:00,11.8,11.8,10.7,93.21,0,0,,0,0,22.3,9.5,102,1006.2,100,13.4,0,0,0,10,Overcast,cloudy,"KAGC,KPIT,F1970",7:02:32,19:47:49
"15026, USA",2024-04-02T07:00:00,12.3,12.3,11.2,93,0.276,100,rain,0,0,20.5,14.6,102,1004.9,100,0.2,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970",7:02:32,19:47:49
"15026, USA",2024-04-02T08:00:00,12.8,12.8,11.2,89.97,0,0,,0,0,22.3,14.8,112,1004.2,99.1,3.4,3,0,0,10,Overcast,cloudy,"KAGC,KPIT,F1970",7:02:32,19:47:49
"15026, USA",2024-04-02T09:00:00,12.8,12.8,11.8,93.48,6.385,100,rain,0,0,22.3,1.7,20,1004.2,100,2.7,8,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T10:00:00,12.9,12.9,11.3,90.35,1.222,100,rain,0,0,25.9,10.6,44,1002.5,100,10.4,15,0.1,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T11:00:00,12.9,12.9,11.4,90.35,2.285,100,rain,0,0,29.5,9.5,82,1002.6,100,9.4,48,0.2,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T12:00:00,13.1,13.1,11.5,90.39,2.786,100,rain,0,0,27.7,12.3,91,1002.2,100,10.6,62,0.2,1,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",7:02:32,19:47:49
"15026, USA",2024-04-02T13:00:00,16.2,16.2,15,92.6,2.3,41,rain,0,0,29.5,20.5,180,999,69,7.9,171,0.6,2,10,Partially cloudy,partly-cloudy-day,,7:02:32,19:47:49
"15026, USA",2024-04-02T14:00:00,17.3,17.3,15.6,89.75,19.9,38,rain,0,0,31.3,20.5,220,998,74,12.8,324,1.2,3,10,Partially cloudy,partly-cloudy-day,,7:02:32,19:47:49
"15026, USA",2024-04-02T15:00:00,17.8,17.8,15.6,86.96,0.3,34,rain,0,0,31.3,22.3,220,999,73,9.6,241,0.9,2,10,Partially cloudy,partly-cloudy-day,,7:02:32,19:47:49
"15026, USA",2024-04-02T16:00:00,18.4,18.4,15.6,83.74,0.3,31,rain,0,0,33.5,22.3,210,999,73,4.8,149,0.5,1,10,Partially cloudy,partly-cloudy-day,,7:02:32,19:47:49
"15026, USA",2024-04-02T17:00:00,17.8,17.8,15.6,86.96,0.5,41,rain,0,0,35.3,24.1,200,998,77,4.7,154,0.6,2,10,Partially cloudy,partly-cloudy-day,,7:02:32,19:47:49
"15026, USA",2024-04-02T18:00:00,17.8,17.8,16.2,90.36,0.8,50,rain,0,0,29.5,20.5,190,997,82,4,104,0.4,1,10,"Rain, Partially cloudy",rain,,7:02:32,19:47:49
"15026, USA",2024-04-02T19:00:00,17.8,17.8,15.6,86.96,0.3,59,rain,0,0,33.5,22.3,190,997,73,6.4,35,0.1,0,10,"Rain, Partially cloudy",rain,,7:02:32,19:47:49
"15026, USA",2024-04-02T20:00:00,17.3,17.3,15,86.35,7,69,rain,0,0,33.5,22.3,170,997,77,6.4,9,0,0,10,"Rain, Partially cloudy",rain,,7:02:32,19:47:49
"15026, USA",2024-04-02T21:00:00,16.7,16.7,15,89.7,1,77,rain,0,0,38.9,25.9,180,997,58,7.9,0,0,0,10,"Rain, Partially cloudy",rain,,7:02:32,19:47:49
"15026, USA",2024-04-02T22:00:00,16.2,16.2,14.5,89.66,0.3,84,rain,0,0,42.5,27.7,180,997,73,7.9,0,0,0,10,"Rain, Partially cloudy",rain,,7:02:32,19:47:49
"15026, USA",2024-04-02T23:00:00,16.2,16.2,14.5,89.66,0.5,92,rain,0,0,44.3,29.5,180,996,73,7.9,0,0,0,10,"Rain, Partially cloudy",rain,,7:02:32,19:47:49
"15026, USA",2024-04-03T00:00:00,15.6,15.6,13.9,89.62,0.8,89,rain,0,0,44.3,29.5,180,995,76,6.3,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T01:00:00,15.6,15.6,13.9,89.62,0.8,85,rain,0,0,44.3,29.5,180,994,63,6.3,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T02:00:00,15.6,15.6,13.9,89.62,8.1,82,rain,0,0,46.4,29.5,180,993,67,6.3,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T03:00:00,13.9,13.9,13.9,100,0.8,82,rain,0,0,38.9,25.9,170,992,64,6.3,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T04:00:00,13.4,13.4,13.4,100,0.8,84,rain,0,0,35.3,22.3,170,992,74,6.3,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T05:00:00,12.8,12.8,12.8,100,0.8,85,rain,0,0,29.5,20.5,160,991,83,7.9,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T06:00:00,10.6,10.6,10.6,100,0.8,86,rain,0,0,29.5,18.4,150,990,85,7.9,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T07:00:00,12.8,12.8,12.3,96.77,2,87,rain,0,0,27.7,16.6,170,990,87,7.9,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T08:00:00,12.3,12.3,11.2,93,4.3,88,rain,0,0,24.1,16.6,210,992,89,7.9,10,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T09:00:00,11.7,11.7,10.6,92.96,1.5,88,rain,0,0,27.7,18.4,240,993,89,4.7,85,0.3,1,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T10:00:00,10.6,10.6,9.5,92.91,1.3,88,rain,0,0,29.5,20.5,250,993,89,4,59,0.2,1,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T11:00:00,11.2,11.2,8.4,82.89,0.8,88,rain,0,0,29.5,20.5,250,993,89,4,166,0.6,2,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T12:00:00,10.6,10.6,7.8,82.81,0.3,88,rain,0,0,29.5,20.5,250,994,88,4.7,215,0.8,2,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T13:00:00,11.2,11.2,6.7,73.81,0.3,88,rain,0,0,29.5,20.5,250,995,88,4.7,138,0.5,1,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T14:00:00,9.5,6.6,5,73.5,12,85,rain,0,0,29.5,20.5,250,995,87,4.7,143,0.5,1,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T15:00:00,9.5,6.5,4.5,70.98,0,85,rain,0,0,31.3,22.3,250,995,80,4.7,130,0.5,1,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T16:00:00,9.5,6.6,2.8,62.97,0,85,rain,0,0,31.3,20.5,250,996,74,4.7,150,0.5,2,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T17:00:00,8.9,5.9,1.7,60.63,0,85,rain,0,0,31.3,20.5,250,995,67,6.3,215,0.8,2,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T18:00:00,8.9,6.3,1.7,60.63,0,85,rain,0,0,27.7,16.6,250,995,64,9.6,150,0.5,2,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T19:00:00,8.4,5.9,1.2,60.51,0,85,rain,0,0,22.3,14.8,250,996,60,13,85,0.3,1,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T20:00:00,7.3,4.8,0.6,62.45,0.5,70,rain,0,0,18.4,13,250,996,57,16.3,20,0.1,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T21:00:00,6.7,4.1,1.2,67.95,0,70,rain,0,0,18.4,13,250,996,57,16.3,13,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T22:00:00,5.9,3,1.2,71.8,0,70,rain,0,0,19.4,14,240,996,57,16.3,7,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-03T23:00:00,5,1.7,1.2,76.43,0.3,70,rain,0,0,20.5,14.8,230,995,57,16.3,0,0,0,10,"Rain, Partially cloudy",rain,,7:00:54,19:48:51
"15026, USA",2024-04-04T00:00:00,4.6,1.1,1.2,78.59,0,70,rain,0,0,21.2,15.5,223.3,995,62.7,16.3,0,0,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T01:00:00,4.3,0.7,1.2,80.26,0,70,rain,0,0,21.6,15.8,216.7,995,68.3,16.3,0,0,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T02:00:00,3.9,0.1,1.2,82.54,0.8,70,rain,0,0,22.3,16.6,210,993,74,16.3,0,0,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T03:00:00,3.5,-0.4,1.2,84.9,0,70,rain,0,0,23.4,16.6,216.7,993,74.3,16.3,0,0,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T04:00:00,3.2,-0.8,1.2,86.72,0,70,rain,0,0,24.8,16.6,223.3,993,74.7,16.3,0,0,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T05:00:00,2.8,-1.3,1.2,89.21,0,70,rain,0,0,25.9,16.6,230,993,75,16.3,0,0,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T06:00:00,2.6,-1.5,1,89.19,0,94,rain,0,0,25.2,16.6,233.3,993,77,16.3,14,0.1,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T07:00:00,2.5,-1.6,0.8,88.54,0,94,rain,0,0,24.8,16.6,236.7,994,79,16.3,29,0.1,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T08:00:00,2.3,-1.9,0.6,88.53,1.1,94,rain,0,0,24.1,16.6,240,994,81,16.3,43,0.2,0,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T09:00:00,3,-1.2,0.6,84.23,0,94,rain,0,0,25.9,18,243.3,994,81,13.4,139,0.5,1,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T10:00:00,3.8,-0.4,0.6,79.61,0,94,rain,0,0,27.7,19.1,246.7,995,81,10.6,235,0.8,2,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T11:00:00,4.5,0.3,0.6,75.8,0.3,94,rain,0,0,29.5,20.5,250,996,81,7.7,331,1.2,3,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
"15026, USA",2024-04-04T12:00:00,5.1,1,0.4,71.65,0,92,rain,0,0,31.3,21.2,256.7,996,81,10,289,1,3,10,"Rain, Partially cloudy",rain,,6:59:18,19:49:54
