name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,sunrise,sunset
"15026, USA",2024-04-10T00:00:00,16.9,16.9,12,72.83,0,0,,0,0,25.9,10.1,219,1015.2,95,16,0,0,0,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T01:00:00,16.8,16.8,11.7,71.8,0,0,,0,0,27.7,8.6,228,1014.9,100,16,0,0,0,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T02:00:00,15.7,15.7,12.1,79.18,0.258,100,rain,0,0,29.5,8.1,273,1015.1,100,16,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T03:00:00,14.9,14.9,12.9,87.49,0.332,100,rain,0,0,31.7,8.2,239,1015.1,100,12.6,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T04:00:00,14.9,14.9,12.9,87.67,0.389,100,rain,0,0,24.1,11.3,211,1014.8,100,15.3,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T05:00:00,14.3,14.3,12.9,91.1,0.588,100,rain,0,0,22.3,12.5,217,1014.8,100,15.7,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T06:00:00,14.2,14.2,12.3,88.21,0.088,100,rain,0,0,22.3,11.3,209,1015,100,15.6,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T07:00:00,14.2,14.2,12.8,91.24,0.022,100,rain,0,0,18.4,11.2,209,1015.4,100,13.3,0,0,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T08:00:00,14.2,14.2,12.8,91.24,0.43,100,rain,0,0,18.4,9.5,199,1015.8,100,10.4,25,0.1,0,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T09:00:00,14.2,14.2,12.9,91.51,0,0,,0,0,20.5,8.3,191,1015.8,100,14.9,67,0.2,1,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T10:00:00,14.8,14.8,12.9,88.32,0.037,100,rain,0,0,22.3,11.5,207,1015.9,100,15.6,107,0.4,1,10,"Rain, Overcast",rain,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T11:00:00,15.5,15.5,12.9,84.59,0,0,,0,0,22.3,13.2,207,1015.9,100,15.9,186,0.7,2,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T12:00:00,16.9,16.9,11.9,72.42,0,0,,0,0,22.3,13.3,191,1016,100,15.6,178,0.6,2,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T13:00:00,17.1,17.1,11.9,71.28,0,0,,0,0,18.4,12.8,199,1015.8,99.2,16,141,0.5,1,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T14:00:00,17.7,17.7,11.9,68.65,0,0,,0,0,18.4,6,200,1015.6,100,16,260,0.9,3,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T15:00:00,18.2,18.2,12.3,68.26,0,0,,0,0,18.4,5.8,270,1015.3,100,16,255,0.9,3,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T16:00:00,17.9,17.9,12.3,69.94,0,0,,0,0,16.6,1.2,338,1014.6,100,16,125,0.5,1,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T17:00:00,18.4,18.4,12.3,67.92,0,0,,0,0,13,0.7,10,1014.5,100,16,213,0.8,2,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T18:00:00,18.7,18.7,11.9,64.6,0,0,,0,0,24.1,0.5,6,1014,100,16,131,0.5,1,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
"15026, USA",2024-04-10T19:00:00,17.3,17.3,12.9,75.52,0,0,,0,0,11.2,7.3,83,1013.7,100,16,41,0.1,0,10,Overcast,cloudy,"KAGC,KPIT,F1970,KAFJ",06:49:46,19:56:07
